date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2024-05-04,20874.53125,24119.75,18699.78
2024-05-05,18503.422916666666,23893.69,13251.72
2024-05-06,20545.3875,25548.9,16165.51
2024-05-07,20425.611666666668,25502.96,15997.57
2024-05-08,20713.16875,26100.13,16261.07
2024-05-09,21676.170000000002,27008.55,17692.57
2024-05-10,21715.337083333332,26995.42,17790.49
2024-05-11,20319.97,26570.47,14931.2
2024-05-12,19830.215833333332,26361.13,14443.71
2024-05-13,21962.42125,27970.79,18285.79
2024-05-14,22101.605,27671.13,18036.16
2024-05-15,22871.73875,28325.54,19268.91
2024-05-16,22817.185833333333,28008.98,19126.8
2024-05-17,23055.404166666664,27556.25,19667.95
2024-05-18,20645.481666666667,25409.97,15862.36
2024-05-19,19515.794166666667,25049.62,14357.68
2024-05-20,21835.744166666667,27023.26,18009.62
2024-05-21,21962.7075,27805.96,17588.21
2024-05-22,22340.710000000003,27563.17,18341.22
2024-05-23,22636.034166666665,27355.0,19093.65
2024-05-24,21818.280416666665,25827.63,17794.71
2024-05-25,20097.41125,24482.43,15476.76
2024-05-26,19149.89375,25007.09,13312.03
2024-05-27,19816.064166666667,26213.73,14617.59
2024-05-28,21925.770833333332,27420.03,17820.61
2024-05-29,22623.145833333332,28516.05,18543.99
2024-05-30,24038.219583333335,30395.6,19674.02
2024-05-31,24279.0125,29569.6,20923.1
2024-06-01,21821.785416666666,26975.54,17010.11
2024-06-02,20815.1375,26899.07,15477.7
2024-06-03,23804.247499999998,28967.72,20690.76
2024-06-04,26170.632499999996,33920.96,21599.27
2024-06-05,28760.139166666664,36165.02,23273.56
2024-06-06,27873.129166666666,34738.61,23222.37
2024-06-07,26157.717916666665,31346.85,22907.22
2024-06-08,22916.617083333334,27976.91,18477.06
2024-06-09,21544.742083333334,27288.24,16734.46
2024-06-10,24456.717916666665,31042.15,20406.4
2024-06-11,26456.27666666667,33549.63,21744.24
2024-06-12,26289.040416666667,32248.35,22487.95
2024-06-13,25271.334583333333,30583.48,22114.37
2024-06-14,25628.672083333335,31849.36,21700.0
2024-06-15,23932.899999999998,30189.79,19601.41
2024-06-16,22173.59833333333,28505.45,16878.49
